serial,province_state,obsv_date,confirmed,New_Cases
39261,Andaman and Nicobar Islands,2020-06-10,33,0
39989,Andaman and Nicobar Islands,2020-06-11,38,5
40722,Andaman and Nicobar Islands,2020-06-12,38,0
41455,Andaman and Nicobar Islands,2020-06-13,38,0
42188,Andaman and Nicobar Islands,2020-06-14,38,0
42921,Andaman and Nicobar Islands,2020-06-15,41,3
43654,Andaman and Nicobar Islands,2020-06-16,44,3
44387,Andaman and Nicobar Islands,2020-06-17,44,0
45120,Andaman and Nicobar Islands,2020-06-18,44,0
45853,Andaman and Nicobar Islands,2020-06-19,45,1
46586,Andaman and Nicobar Islands,2020-06-20,47,2
47319,Andaman and Nicobar Islands,2020-06-21,48,1
48052,Andaman and Nicobar Islands,2020-06-22,48,0
48785,Andaman and Nicobar Islands,2020-06-23,50,2
49518,Andaman and Nicobar Islands,2020-06-24,56,6
50251,Andaman and Nicobar Islands,2020-06-25,59,3
50984,Andaman and Nicobar Islands,2020-06-26,72,13
51717,Andaman and Nicobar Islands,2020-06-27,72,0
52450,Andaman and Nicobar Islands,2020-06-28,76,4
53183,Andaman and Nicobar Islands,2020-06-29,90,14
53916,Andaman and Nicobar Islands,2020-06-30,97,7
54649,Andaman and Nicobar Islands,2020-07-01,100,3
55382,Andaman and Nicobar Islands,2020-07-02,109,9
56115,Andaman and Nicobar Islands,2020-07-03,116,7
56848,Andaman and Nicobar Islands,2020-07-04,119,3
57581,Andaman and Nicobar Islands,2020-07-05,125,6
58314,Andaman and Nicobar Islands,2020-07-06,141,16
59047,Andaman and Nicobar Islands,2020-07-07,147,6
59780,Andaman and Nicobar Islands,2020-07-08,149,2
60513,Andaman and Nicobar Islands,2020-07-09,151,2
61246,Andaman and Nicobar Islands,2020-07-10,156,5
61979,Andaman and Nicobar Islands,2020-07-11,163,7
62712,Andaman and Nicobar Islands,2020-07-12,163,0
63445,Andaman and Nicobar Islands,2020-07-13,166,3
64178,Andaman and Nicobar Islands,2020-07-14,166,0
