,Country_Region,Date,Doses_admin,People_partially_vaccinated,People_fully_vaccinated
8353,India,2021-01-15,0,0,0
8354,India,2021-01-16,191181,191181,0
8355,India,2021-01-17,224301,224301,0
8356,India,2021-01-18,454049,454049,0
8357,India,2021-01-19,674835,674835,0
8358,India,2021-01-20,806484,806484,0
8359,India,2021-01-21,1043534,1043534,0
8360,India,2021-01-22,1390592,1390592,0
8361,India,2021-01-23,1582201,1582201,0
8362,India,2021-01-24,1615504,1615504,0
8363,India,2021-01-25,2023809,2023809,0
8364,India,2021-01-26,2029480,2029480,0
8365,India,2021-01-27,2355979,2355979,0
8366,India,2021-01-28,2928053,2928053,0
8367,India,2021-01-29,3500027,3500027,0
8368,India,2021-01-30,3744334,3744334,0
8369,India,2021-01-31,3758843,3758843,0
8370,India,2021-02-01,3950156,3950156,0
8371,India,2021-02-02,4138918,4138918,0
8372,India,2021-02-03,4449552,4449552,0
8373,India,2021-02-04,4959445,4959445,0
8374,India,2021-02-05,5416849,5416849,0
8375,India,2021-02-06,5775322,5775322,0
8376,India,2021-02-07,5812362,5812362,0
8377,India,2021-02-08,6259008,6259008,0
8378,India,2021-02-09,6611561,6611561,0
8379,India,2021-02-10,7017114,7017114,0
8380,India,2021-02-11,7505010,7505010,0
8381,India,2021-02-12,7967647,7967647,0
8382,India,2021-02-13,8052454,8044786,7668
8383,India,2021-02-14,8052454,8044786,7668
8384,India,2021-02-15,8516771,8418653,98118
8385,India,2021-02-16,8857341,8641002,216339
8386,India,2021-02-17,9186757,8844641,342116
8387,India,2021-02-18,9846523,9381591,464932
8388,India,2021-02-19,10449942,9693000,756942
8389,India,2021-02-20,10838323,9964383,873940
8390,India,2021-02-21,11085173,10124531,960642
8391,India,2021-02-22,11424094,10308552,1115542
8392,India,2021-02-23,11907392,10585757,1321635
8393,India,2021-02-24,12366633,10884879,1481754
8394,India,2021-02-25,13067047,11206188,1860859
8395,India,2021-02-26,13756940,11552857,2204083
8396,India,2021-02-27,14242547,11788669,2453878
8397,India,2021-02-28,14301266,11845075,2456191
8398,India,2021-03-01,14854136,12256337,2597799
8399,India,2021-03-02,15620749,12906771,2713978
8400,India,2021-03-03,16616048,13739121,2876927
8401,India,2021-03-04,18005503,14796835,3208668
8402,India,2021-03-05,19497704,15996683,3501021
8403,India,2021-03-06,20922344,17168303,3754041
8404,India,2021-03-07,20989010,17227903,3761107
8405,India,2021-03-08,23008733,18943283,4065450
8406,India,2021-03-09,24367906,20004227,4363679
8407,India,2021-03-10,25685011,21034481,4650530
8408,India,2021-03-11,26164920,21435841,4729079
8409,India,2021-03-12,28218457,23075504,5142953
8410,India,2021-03-13,29738409,24307635,5430774
8411,India,2021-03-14,29908038,24452385,5455653
8412,India,2021-03-15,32947432,27079484,5867948
8413,India,2021-03-16,35064536,28862037,6202499
8414,India,2021-03-17,37143255,30600787,6542468
8415,India,2021-03-18,39339817,32426230,6913587
8416,India,2021-03-19,42063392,34842030,7221362
8417,India,2021-03-20,44603841,37125187,7478654
8418,India,2021-03-21,45065998,37574302,7491696
8419,India,2021-03-22,48494594,40631153,7863441
8420,India,2021-03-23,50841286,42731952,8109334
8421,India,2021-03-24,53145709,44846538,8299171
8422,India,2021-03-25,55504440,47001472,8502968
8423,India,2021-03-26,58109773,49426618,8683155
8424,India,2021-03-27,60269782,51441436,8828346
8425,India,2021-03-28,60530435,51660234,8870201
8426,India,2021-03-29,61113354,52211398,8901956
8427,India,2021-03-30,63054353,53989035,9065318
8428,India,2021-03-31,65117896,55783201,9334695
8429,India,2021-04-01,68789138,59148798,9640340
8430,India,2021-04-02,73054295,63081589,9972706
8431,India,2021-04-03,75979651,65739470,10240181
8432,India,2021-04-04,79105163,68678838,10426325
8433,India,2021-04-05,83110926,72277309,10833617
8434,India,2021-04-06,87077474,75937015,11140459
8435,India,2021-04-07,90198673,78763027,11435646
8436,India,2021-04-08,94334262,82456522,11877740
8437,India,2021-04-09,98075160,85763852,12311308
8438,India,2021-04-10,101595147,88885961,12709186
8439,India,2021-04-11,104528565,91587400,12941165
8440,India,2021-04-12,108533085,95043039,13490046
8441,India,2021-04-13,111179578,97301914,13877664
8442,India,2021-04-14,114493238,100179199,14314039
8443,India,2021-04-15,117223509,102349255,14874254
8444,India,2021-04-16,119937641,104408484,15529157
8445,India,2021-04-17,122622590,106431076,16191514
8446,India,2021-04-18,123852566,107371770,16480796
8447,India,2021-04-19,127129113,109659181,17469932
8448,India,2021-04-20,127129113,109659181,17469932
8449,India,2021-04-21,129646105,111673361,17972744
8450,India,2021-04-22,132754608,113584269,19170339
8451,India,2021-04-23,132754608,113584269,19170339
8452,India,2021-04-24,132754608,113584269,19170339
8453,India,2021-04-25,139185173,117795008,21390165
8454,India,2021-04-26,142524947,119886252,22638695
8455,India,2021-04-27,144879233,121263287,23615946
8456,India,2021-04-28,147053392,122538179,24515213
8457,India,2021-04-29,149268772,123811908,25456864
8458,India,2021-04-30,151998107,125376952,26621155
8459,India,2021-05-01,153626325,126328970,27297355
8460,India,2021-05-02,154211511,126704151,27507360
8461,India,2021-05-03,156082136,127696675,28385461
8462,India,2021-05-04,157750752,128627919,29122833
8463,India,2021-05-05,159931238,129730641,30200597
8464,India,2021-05-06,162603603,131058890,31544713
8465,India,2021-05-07,165190000,132294827,32895173
8466,India,2021-05-08,167493857,133366482,34127375
8467,India,2021-05-09,168304868,133854676,34450192
8468,India,2021-05-10,171098918,135192013,35906905
8469,India,2021-05-11,175235991,136557345,37305298
8470,India,2021-05-12,177214256,137805245,38240332
8471,India,2021-05-13,179298584,139087590,39274256
8472,India,2021-05-14,180457579,139861462,39784951
8473,India,2021-05-15,182220164,139861462,39784951
8474,India,2021-05-16,182220164,141764335,40486671
8475,India,2021-05-17,184438652,143090218,40726986
8476,India,2021-05-18,185786502,144270200,40921402
8477,India,2021-05-19,186980241,145333606,41076994
8478,India,2021-05-20,191843724,146624652,41262233
8479,India,2021-05-21,190233114,146624652,41262233
8480,India,2021-05-22,191859164,149219616,41622881
8481,India,2021-05-23,191859164,150033188,41686052
8482,India,2021-05-24,195387884,152301505,41864206
8483,India,2021-05-25,197503083,153511379,41995400
8484,India,2021-05-26,199535470,156189641,42235974
8485,India,2021-05-27,202553275,158783606,42419560
8486,India,2021-05-28,208902445,160605562,42561240
8487,India,2021-05-29,212066614,164158704,42930249
8488,India,2021-05-30,213154129,165598013,43067110
8489,India,2021-05-31,216046638,167191085,43258810
8490,India,2021-05-11,112230,0,0
8491,India,2021-05-12,112809,0,0
8492,India,2021-05-13,113446,0,0
8493,India,2021-05-14,113455,0,0
8494,India,2021-05-15,113994,0,0
8495,India,2021-05-16,113994,0,0
8496,India,2021-05-17,114440,0,0
8497,India,2021-05-18,114721,0,0
8498,India,2021-05-19,115236,0,0
8499,India,2021-05-20,117175,0,0
8500,India,2021-05-21,117943,0,0
8501,India,2021-05-22,118754,0,0
8502,India,2021-05-23,118754,0,0
8503,India,2021-05-24,119590,0,0
8504,India,2021-05-25,120277,0,0
8505,India,2021-05-26,121086,0,0
